Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   Egz.  
Vardas5965          Pavarde5965         9     7     5     7     10    3     2     2     
Vardas5966          Pavarde5966         7     9     3     2     6     9     3     2     
Vardas5967          Pavarde5967         10    2     4     2     9     7     5     2     
Vardas5968          Pavarde5968         8     4     5     1     8     7     3     3     
Vardas5969          Pavarde5969         2     5     6     2     2     8     1     5     
Vardas5970          Pavarde5970         7     5     8     6     4     8     4     3     
Vardas5971          Pavarde5971         3     7     2     1     9     7     5     8     
Vardas5972          Pavarde5972         10    9     7     2     9     2     9     5     
Vardas5973          Pavarde5973         6     8     5     8     8     7     8     2     
Vardas5974          Pavarde5974         6     6     3     3     8     3     1     6     
Vardas5975          Pavarde5975         9     5     5     7     6     9     1     3     
Vardas5976          Pavarde5976         10    6     3     2     5     4     3     7     
Vardas5977          Pavarde5977         9     3     3     1     3     6     8     5     
Vardas5978          Pavarde5978         4     4     3     10    1     7     2     10    
Vardas5979          Pavarde5979         7     10    6     4     7     5     6     5     
Vardas5980          Pavarde5980         4     10    10    6     1     6     4     7     
Vardas5981          Pavarde5981         6     2     4     7     9     4     10    7     
Vardas5982          Pavarde5982         5     10    4     7     7     3     9     1     
Vardas5983          Pavarde5983         8     8     6     4     7     8     8     7     
Vardas5984          Pavarde5984         3     6     8     8     6     10    10    2     
Vardas5985          Pavarde5985         3     7     4     3     3     8     2     2     
Vardas5986          Pavarde5986         3     5     7     8     5     7     8     5     
Vardas5987          Pavarde5987         9     4     1     8     3     3     1     8     
Vardas5988          Pavarde5988         1     4     6     8     5     6     7     3     
Vardas5989          Pavarde5989         8     8     3     1     8     2     4     4     
Vardas5990          Pavarde5990         10    2     10    9     5     2     7     8     
Vardas5991          Pavarde5991         9     1     3     10    8     3     1     3     
Vardas5992          Pavarde5992         3     4     4     3     7     9     6     7     
Vardas5993          Pavarde5993         10    9     7     3     3     5     7     8     
Vardas5994          Pavarde5994         5     7     8     3     10    9     8     7     
Vardas5995          Pavarde5995         4     1     4     3     8     6     1     3     
Vardas5996          Pavarde5996         7     10    1     7     10    8     3     8     
Vardas5997          Pavarde5997         10    8     8     10    3     10    8     7     
Vardas5998          Pavarde5998         7     6     3     3     10    2     7     10    
Vardas5999          Pavarde5999         7     2     10    9     2     1     1     9     
Vardas6000          Pavarde6000         4     8     9     4     5     4     3     1     
Vardas6001          Pavarde6001         6     7     6     2     9     1     7     2     
Vardas6002          Pavarde6002         9     3     10    5     9     2     1     5     
Vardas6003          Pavarde6003         4     9     2     4     3     3     8     6     
Vardas6004          Pavarde6004         3     2     2     1     8     3     6     10    
Vardas6005          Pavarde6005         9     6     2     5     4     3     3     9     
Vardas6006          Pavarde6006         7     6     6     3     5     9     10    9     
Vardas6007          Pavarde6007         1     10    2     9     4     4     3     3     
Vardas6008          Pavarde6008         4     8     4     10    7     9     1     5     
Vardas6009          Pavarde6009         1     1     10    10    4     3     6     10    
Vardas6010          Pavarde6010         4     7     8     7     7     8     6     9     
Vardas6011          Pavarde6011         7     5     3     2     10    5     10    9     
Vardas6012          Pavarde6012         10    8     3     8     3     10    10    5     
Vardas6013          Pavarde6013         1     3     8     5     4     9     2     1     
Vardas6014          Pavarde6014         5     2     5     6     9     4     7     7     
Vardas6015          Pavarde6015         7     2     3     5     4     6     3     4     
Vardas6016          Pavarde6016         3     4     4     1     9     2     5     4     
Vardas6017          Pavarde6017         9     3     4     9     7     5     3     6     
Vardas6018          Pavarde6018         5     5     3     2     3     7     1     1     
Vardas6019          Pavarde6019         9     2     5     1     1     4     4     4     
Vardas6020          Pavarde6020         4     2     10    7     2     5     2     2     
Vardas6021          Pavarde6021         10    2     6     6     6     6     7     3     
Vardas6022          Pavarde6022         5     10    1     7     6     10    10    8     
Vardas6023          Pavarde6023         4     10    9     10    9     10    3     1     
Vardas6024          Pavarde6024         3     2     1     9     7     5     5     1     
Vardas6025          Pavarde6025         5     10    10    2     10    1     8     8     
Vardas6026          Pavarde6026         6     4     3     10    8     10    2     10    
Vardas6027          Pavarde6027         8     6     6     6     5     10    6     10    
Vardas6028          Pavarde6028         7     4     8     7     8     6     3     2     
Vardas6029          Pavarde6029         5     3     6     10    2     1     10    9     
Vardas6030          Pavarde6030         1     8     7     9     10    1     5     5     
Vardas6031          Pavarde6031         4     7     6     2     1     2     5     8     
Vardas6032          Pavarde6032         3     3     7     4     3     10    3     10    
Vardas6033          Pavarde6033         9     10    10    2     1     8     4     4     
Vardas6034          Pavarde6034         8     7     9     7     5     5     2     5     
Vardas6035          Pavarde6035         6     8     10    5     4     5     3     9     
Vardas6036          Pavarde6036         10    6     4     4     3     8     1     7     
Vardas6037          Pavarde6037         1     2     8     6     3     2     6     10    
Vardas6038          Pavarde6038         6     5     9     6     1     10    9     9     
Vardas6039          Pavarde6039         1     7     6     5     6     3     10    9     
Vardas6040          Pavarde6040         3     5     5     9     8     5     2     5     
Vardas6041          Pavarde6041         10    7     9     5     1     1     5     6     
Vardas6042          Pavarde6042         6     2     7     2     7     6     3     8     
Vardas6043          Pavarde6043         2     7     9     4     1     2     10    4     
Vardas6044          Pavarde6044         7     1     2     10    5     10    8     8     
Vardas6045          Pavarde6045         2     8     7     2     5     5     8     9     
Vardas6046          Pavarde6046         9     9     7     4     9     7     9     4     
Vardas6047          Pavarde6047         7     2     5     4     7     8     3     7     
Vardas6048          Pavarde6048         6     9     1     5     3     1     7     9     
Vardas6049          Pavarde6049         6     8     10    9     6     2     7     1     
Vardas6050          Pavarde6050         4     1     1     2     6     5     1     7     
Vardas6051          Pavarde6051         5     3     6     9     5     8     5     10    
Vardas6052          Pavarde6052         3     9     9     2     7     4     1     5     
Vardas6053          Pavarde6053         4     3     6     6     8     10    4     7     
Vardas6054          Pavarde6054         6     5     7     9     4     10    7     1     
Vardas6055          Pavarde6055         2     7     10    5     7     1     4     5     
Vardas6056          Pavarde6056         8     2     4     10    2     6     4     9     
Vardas6057          Pavarde6057         3     4     1     1     2     9     10    1     
Vardas6058          Pavarde6058         2     1     8     1     8     6     8     5     
Vardas6059          Pavarde6059         7     10    1     6     9     7     4     3     
Vardas6060          Pavarde6060         7     10    5     9     4     4     10    4     
Vardas6061          Pavarde6061         6     2     9     2     5     1     2     7     
Vardas6062          Pavarde6062         10    3     4     4     1     1     1     5     
Vardas6063          Pavarde6063         2     7     1     5     9     6     3     8     
Vardas6064          Pavarde6064         5     4     9     9     4     3     8     5     
Vardas6065          Pavarde6065         5     3     8     6     7     6     10    2     
Vardas6066          Pavarde6066         5     7     7     9     4     7     4     1     
Vardas6067          Pavarde6067         4     7     10    3     4     10    2     9     
Vardas6068          Pavarde6068         5     9     4     7     6     3     6     1     
Vardas6069          Pavarde6069         1     4     7     4     9     10    3     10    
Vardas6070          Pavarde6070         7     9     5     6     4     10    8     4     
Vardas6071          Pavarde6071         6     10    9     7     9     5     9     5     
Vardas6072          Pavarde6072         2     1     10    9     4     4     1     3     
Vardas6073          Pavarde6073         6     8     8     2     9     7     9     7     
Vardas6074          Pavarde6074         9     5     6     4     8     1     9     3     
Vardas6075          Pavarde6075         1     4     2     9     9     9     8     5     
Vardas6076          Pavarde6076         7     5     6     10    5     8     8     10    
Vardas6077          Pavarde6077         7     3     9     4     2     10    8     1     
Vardas6078          Pavarde6078         7     5     10    7     9     3     3     6     
Vardas6079          Pavarde6079         8     4     5     7     9     4     1     5     
Vardas6080          Pavarde6080         2     8     7     4     2     5     7     6     
Vardas6081          Pavarde6081         6     1     6     6     2     10    8     3     
Vardas6082          Pavarde6082         3     9     5     1     3     7     10    1     
Vardas6083          Pavarde6083         2     3     2     2     9     2     4     5     
Vardas6084          Pavarde6084         8     10    9     1     10    3     4     1     
Vardas6085          Pavarde6085         8     9     3     1     6     3     1     6     
Vardas6086          Pavarde6086         9     3     2     3     3     1     10    1     
Vardas6087          Pavarde6087         8     10    5     1     3     3     7     5     
Vardas6088          Pavarde6088         6     8     5     4     10    2     4     6     
Vardas6089          Pavarde6089         2     10    8     4     1     4     9     2     
Vardas6090          Pavarde6090         10    4     5     1     2     7     5     10    
Vardas6091          Pavarde6091         10    6     10    8     2     5     2     4     
Vardas6092          Pavarde6092         9     6     7     3     8     2     6     7     
Vardas6093          Pavarde6093         1     9     7     3     4     10    6     1     
Vardas6094          Pavarde6094         4     7     10    9     9     8     8     2     
Vardas6095          Pavarde6095         3     5     3     5     6     10    6     3     
Vardas6096          Pavarde6096         2     5     9     9     10    7     8     2     
Vardas6097          Pavarde6097         4     3     2     2     10    1     7     1     
Vardas6098          Pavarde6098         9     7     5     7     9     9     3     5     
Vardas6099          Pavarde6099         4     1     2     8     2     4     4     1     
Vardas6100          Pavarde6100         6     4     5     10    1     4     1     6     
Vardas6101          Pavarde6101         3     10    1     9     9     6     2     7     
Vardas6102          Pavarde6102         8     8     8     10    7     8     9     10    
Vardas6103          Pavarde6103         8     7     4     3     1     4     6     8     
Vardas6104          Pavarde6104         2     3     7     2     5     6     9     5     
Vardas6105          Pavarde6105         1     6     1     7     8     9     8     1     
Vardas6106          Pavarde6106         7     2     1     9     6     8     3     8     
Vardas6107          Pavarde6107         4     2     5     9     8     5     1     7     
Vardas6108          Pavarde6108         9     7     9     2     5     2     2     4     
Vardas6109          Pavarde6109         8     6     2     10    5     1     6     9     
Vardas6110          Pavarde6110         1     8     4     8     8     2     3     2     
Vardas6111          Pavarde6111         3     2     5     1     10    6     9     8     
Vardas6112          Pavarde6112         4     6     5     4     6     10    8     7     
Vardas6113          Pavarde6113         1     9     4     8     4     1     6     10    
Vardas6114          Pavarde6114         9     5     5     3     6     8     1     9     
Vardas6115          Pavarde6115         8     6     6     7     3     5     4     3     
Vardas6116          Pavarde6116         1     5     5     10    5     8     5     10    
Vardas6117          Pavarde6117         4     7     9     2     10    9     6     3     
Vardas6118          Pavarde6118         7     4     7     4     10    5     1     6     
Vardas6119          Pavarde6119         3     5     8     5     10    10    1     3     
Vardas6120          Pavarde6120         3     9     6     5     5     7     9     4     
Vardas6121          Pavarde6121         1     5     3     7     8     4     9     10    
Vardas6122          Pavarde6122         2     1     6     6     1     6     7     10    
Vardas6123          Pavarde6123         1     9     5     5     5     8     4     2     
Vardas6124          Pavarde6124         7     9     8     3     4     2     10    7     
Vardas6125          Pavarde6125         4     10    2     7     1     3     10    7     
Vardas6126          Pavarde6126         6     4     1     6     9     9     4     8     
Vardas6127          Pavarde6127         6     9     7     8     3     8     2     8     
Vardas6128          Pavarde6128         6     5     3     6     3     10    3     9     
Vardas6129          Pavarde6129         10    2     10    6     10    8     9     5     
Vardas6130          Pavarde6130         4     5     3     6     9     9     10    7     
Vardas6131          Pavarde6131         4     8     7     4     2     3     5     10    
Vardas6132          Pavarde6132         7     1     5     3     6     9     10    3     
Vardas6133          Pavarde6133         7     1     8     3     9     3     5     8     
Vardas6134          Pavarde6134         4     4     2     2     10    7     2     5     
Vardas6135          Pavarde6135         10    4     10    1     3     9     2     6     
Vardas6136          Pavarde6136         1     9     8     8     2     3     2     7     
Vardas6137          Pavarde6137         7     10    6     8     2     5     2     2     
Vardas6138          Pavarde6138         9     1     6     2     8     1     4     4     
Vardas6139          Pavarde6139         5     6     8     6     7     4     3     10    
Vardas6140          Pavarde6140         5     3     10    6     7     8     10    3     
Vardas6141          Pavarde6141         9     9     8     1     7     3     10    3     
Vardas6142          Pavarde6142         6     4     2     7     8     3     7     7     
Vardas6143          Pavarde6143         1     6     2     2     4     10    8     9     
Vardas6144          Pavarde6144         5     1     5     5     6     10    10    10    
Vardas6145          Pavarde6145         1     6     1     10    3     2     5     6     
Vardas6146          Pavarde6146         8     7     3     7     4     6     3     7     
Vardas6147          Pavarde6147         8     1     8     5     6     9     7     3     
Vardas6148          Pavarde6148         4     6     10    7     10    3     2     3     
Vardas6149          Pavarde6149         2     1     8     6     4     5     1     8     
Vardas6150          Pavarde6150         4     10    1     6     1     9     1     1     
Vardas6151          Pavarde6151         7     8     6     1     8     1     8     9     
Vardas6152          Pavarde6152         1     1     7     1     5     9     6     2     
Vardas6153          Pavarde6153         9     3     8     10    2     2     10    7     
Vardas6154          Pavarde6154         1     6     1     3     9     3     3     1     
Vardas6155          Pavarde6155         6     9     6     5     10    2     1     1     
Vardas6156          Pavarde6156         7     3     5     5     2     2     6     1     
Vardas6157          Pavarde6157         7     2     6     3     9     3     6     1     
Vardas6158          Pavarde6158         6     2     1     2     1     8     10    3     
Vardas6159          Pavarde6159         4     5     7     3     1     10    4     3     
Vardas6160          Pavarde6160         7     8     6     4     1     8     5     2     
Vardas6161          Pavarde6161         1     9     6     2     2     3     4     6     
Vardas6162          Pavarde6162         1     3     5     4     8     3     2     1     
Vardas6163          Pavarde6163         7     4     5     9     2     3     2     2     
Vardas6164          Pavarde6164         8     5     9     8     3     2     1     5     
Vardas6165          Pavarde6165         7     1     4     4     7     7     6     7     
Vardas6166          Pavarde6166         1     5     7     3     8     7     2     3     
Vardas6167          Pavarde6167         3     5     1     3     6     4     5     2     
Vardas6168          Pavarde6168         5     10    6     3     8     5     8     4     
Vardas6169          Pavarde6169         4     7     9     8     9     7     3     10    
Vardas6170          Pavarde6170         9     6     1     9     10    6     8     3     
Vardas6171          Pavarde6171         1     3     6     10    8     4     7     9     
Vardas6172          Pavarde6172         5     9     2     6     1     2     6     7     
Vardas6173          Pavarde6173         8     3     7     5     8     4     2     7     
Vardas6174          Pavarde6174         8     9     3     9     2     3     10    7     
Vardas6175          Pavarde6175         4     8     2     5     7     6     8     8     
Vardas6176          Pavarde6176         1     8     1     7     3     5     7     2     
Vardas6177          Pavarde6177         7     9     3     10    3     1     2     9     
Vardas6178          Pavarde6178         7     9     7     3     1     6     10    2     
Vardas6179          Pavarde6179         10    3     2     8     4     4     2     1     
Vardas6180          Pavarde6180         7     4     10    6     9     4     9     7     
Vardas6181          Pavarde6181         6     9     6     1     9     8     8     5     
Vardas6182          Pavarde6182         7     1     10    10    5     2     10    3     
Vardas6183          Pavarde6183         1     5     5     7     8     10    1     8     
Vardas6184          Pavarde6184         4     9     9     8     4     10    10    2     
Vardas6185          Pavarde6185         10    1     5     6     9     8     4     5     
Vardas6186          Pavarde6186         7     5     4     8     5     10    6     10    
Vardas6187          Pavarde6187         10    8     6     10    9     5     3     10    
Vardas6188          Pavarde6188         3     5     9     7     4     10    4     8     
Vardas6189          Pavarde6189         8     1     9     4     6     10    8     7     
Vardas6190          Pavarde6190         4     7     2     5     8     6     10    9     
Vardas6191          Pavarde6191         9     9     4     2     2     8     4     2     
Vardas6192          Pavarde6192         5     3     10    1     8     7     7     4     
Vardas6193          Pavarde6193         9     3     10    10    1     4     6     4     
Vardas6194          Pavarde6194         7     3     3     4     3     8     5     5     
Vardas6195          Pavarde6195         3     5     9     6     6     9     9     4     
Vardas6196          Pavarde6196         9     8     6     9     4     3     6     8     
Vardas6197          Pavarde6197         9     1     5     1     7     9     1     4     
Vardas6198          Pavarde6198         4     7     8     5     7     1     5     2     
Vardas6199          Pavarde6199         5     10    6     8     4     7     8     4     
Vardas6200          Pavarde6200         2     8     1     1     1     9     3     6     
Vardas6201          Pavarde6201         2     1     6     5     4     4     1     9     
Vardas6202          Pavarde6202         6     5     8     5     9     2     4     2     
Vardas6203          Pavarde6203         10    1     5     10    3     9     3     9     
Vardas6204          Pavarde6204         3     2     3     8     9     2     8     5     
Vardas6205          Pavarde6205         7     2     2     10    1     7     4     9     
Vardas6206          Pavarde6206         10    9     1     10    10    6     10    8     
Vardas6207          Pavarde6207         5     9     4     8     4     5     10    7     
Vardas6208          Pavarde6208         8     5     1     2     1     8     5     7     
Vardas6209          Pavarde6209         2     5     9     2     4     4     10    5     
Vardas6210          Pavarde6210         9     7     4     6     8     6     1     8     
Vardas6211          Pavarde6211         6     8     5     6     4     2     1     10    
Vardas6212          Pavarde6212         2     1     10    3     2     1     8     4     
Vardas6213          Pavarde6213         4     5     8     3     3     6     7     10    
Vardas6214          Pavarde6214         6     9     10    8     2     8     1     10    
Vardas6215          Pavarde6215         10    2     4     9     3     5     8     4     
Vardas6216          Pavarde6216         1     8     6     4     2     2     1     8     
Vardas6217          Pavarde6217         2     8     2     1     5     6     1     6     
Vardas6218          Pavarde6218         1     6     3     4     9     4     6     3     
Vardas6219          Pavarde6219         5     6     3     2     10    4     5     2     
Vardas6220          Pavarde6220         7     3     8     5     8     10    4     10    
Vardas6221          Pavarde6221         2     4     3     10    3     1     5     5     
Vardas6222          Pavarde6222         7     7     4     10    8     5     4     9     
Vardas6223          Pavarde6223         10    7     8     5     7     10    5     2     
Vardas6224          Pavarde6224         3     3     4     9     6     3     8     3     
Vardas6225          Pavarde6225         6     4     6     7     3     7     3     9     
Vardas6226          Pavarde6226         10    7     3     8     10    10    8     5     
Vardas6227          Pavarde6227         5     10    9     8     2     2     4     4     
Vardas6228          Pavarde6228         2     3     6     10    9     5     9     1     
Vardas6229          Pavarde6229         9     7     5     5     7     10    6     9     
Vardas6230          Pavarde6230         3     6     6     5     2     7     4     7     
Vardas6231          Pavarde6231         1     3     7     4     4     4     3     6     
Vardas6232          Pavarde6232         4     6     6     8     5     6     10    8     
Vardas6233          Pavarde6233         7     9     2     6     2     2     1     4     
Vardas6234          Pavarde6234         2     2     7     2     9     5     1     9     
Vardas6235          Pavarde6235         7     2     8     3     2     9     10    6     
Vardas6236          Pavarde6236         9     8     8     8     3     2     9     2     
Vardas6237          Pavarde6237         9     3     4     4     4     9     8     3     
Vardas6238          Pavarde6238         4     10    6     5     2     1     10    8     
Vardas6239          Pavarde6239         4     1     7     7     8     9     6     9     
Vardas6240          Pavarde6240         4     5     6     4     8     6     9     4     
Vardas6241          Pavarde6241         6     8     9     6     8     5     1     9     
Vardas6242          Pavarde6242         6     1     8     4     5     10    9     2     
Vardas6243          Pavarde6243         7     4     1     1     10    5     7     10    
Vardas6244          Pavarde6244         1     6     1     6     1     7     7     3     
Vardas6245          Pavarde6245         10    6     5     10    1     2     10    9     
Vardas6246          Pavarde6246         1     3     7     9     5     2     2     4     
Vardas6247          Pavarde6247         8     5     2     5     1     2     4     6     
Vardas6248          Pavarde6248         3     8     5     3     1     7     1     5     
Vardas6249          Pavarde6249         1     4     2     4     4     2     3     8     
Vardas6250          Pavarde6250         4     5     2     3     4     3     6     4     
Vardas6251          Pavarde6251         10    6     10    2     7     4     3     7     
Vardas6252          Pavarde6252         1     2     5     5     10    10    10    4     
Vardas6253          Pavarde6253         5     5     10    5     4     7     7     7     
Vardas6254          Pavarde6254         9     4     10    3     2     4     2     8     
Vardas6255          Pavarde6255         2     5     2     6     7     4     3     7     
Vardas6256          Pavarde6256         4     8     10    10    5     2     8     8     
Vardas6257          Pavarde6257         2     3     2     3     8     8     9     5     
Vardas6258          Pavarde6258         7     3     1     5     6     6     2     7     
Vardas6259          Pavarde6259         3     10    9     3     6     2     2     5     
Vardas6260          Pavarde6260         1     2     4     1     2     4     7     9     
Vardas6261          Pavarde6261         7     9     8     8     1     8     1     4     
Vardas6262          Pavarde6262         10    10    7     1     3     10    1     3     
Vardas6263          Pavarde6263         10    2     3     4     1     9     1     9     
Vardas6264          Pavarde6264         1     2     9     4     8     8     4     4     
Vardas6265          Pavarde6265         5     10    5     5     3     6     10    4     
Vardas6266          Pavarde6266         8     7     2     9     1     10    3     10    
Vardas6267          Pavarde6267         6     6     9     3     7     6     2     9     
Vardas6268          Pavarde6268         3     4     8     4     3     8     1     6     
Vardas6269          Pavarde6269         2     10    3     8     1     10    4     6     
Vardas6270          Pavarde6270         2     9     10    4     3     2     10    1     
Vardas6271          Pavarde6271         2     1     9     8     7     1     1     10    
Vardas6272          Pavarde6272         2     8     10    9     8     5     10    7     
Vardas6273          Pavarde6273         1     7     7     4     4     3     5     10    
Vardas6274          Pavarde6274         7     3     6     10    3     5     2     2     
Vardas6275          Pavarde6275         7     5     1     10    10    5     8     4     
Vardas6276          Pavarde6276         4     3     3     1     6     10    7     9     
Vardas6277          Pavarde6277         4     10    9     3     1     1     7     10    
Vardas6278          Pavarde6278         4     8     9     7     4     4     9     5     
Vardas6279          Pavarde6279         2     2     5     7     5     5     7     10    
Vardas6280          Pavarde6280         2     4     2     1     3     3     8     1     
Vardas6281          Pavarde6281         5     10    9     7     7     2     2     7     
Vardas6282          Pavarde6282         8     8     1     8     2     2     3     3     
Vardas6283          Pavarde6283         9     7     9     3     10    9     1     8     
Vardas6284          Pavarde6284         2     8     3     3     8     4     10    9     
Vardas6285          Pavarde6285         4     4     10    5     9     8     9     3     
Vardas6286          Pavarde6286         5     8     9     3     6     8     7     8     
Vardas6287          Pavarde6287         1     1     5     3     4     4     1     6     
Vardas6288          Pavarde6288         6     3     10    6     5     10    1     3     
Vardas6289          Pavarde6289         10    7     10    1     6     2     6     10    
Vardas6290          Pavarde6290         9     5     7     7     7     2     9     5     
Vardas6291          Pavarde6291         7     5     8     4     5     1     1     5     
Vardas6292          Pavarde6292         4     1     9     6     1     7     4     6     
Vardas6293          Pavarde6293         1     1     10    1     9     10    4     3     
Vardas6294          Pavarde6294         6     3     9     10    3     8     8     8     
Vardas6295          Pavarde6295         4     1     8     4     5     10    2     7     
Vardas6296          Pavarde6296         8     9     6     1     6     7     9     2     
Vardas6297          Pavarde6297         10    6     10    2     7     2     2     3     
Vardas6298          Pavarde6298         5     2     1     8     4     3     3     9     
Vardas6299          Pavarde6299         7     8     4     9     7     9     10    10    
Vardas6300          Pavarde6300         7     4     1     10    1     10    3     2     
Vardas6301          Pavarde6301         9     3     1     1     4     3     2     6     
Vardas6302          Pavarde6302         2     3     2     10    9     6     2     5     
Vardas6303          Pavarde6303         9     7     5     7     2     9     9     9     
Vardas6304          Pavarde6304         3     7     2     3     9     3     8     4     
Vardas6305          Pavarde6305         7     7     3     4     5     4     4     2     
Vardas6306          Pavarde6306         5     1     8     4     4     9     5     2     
Vardas6307          Pavarde6307         3     8     7     2     10    9     9     1     
Vardas6308          Pavarde6308         3     1     7     4     9     3     4     10    
Vardas6309          Pavarde6309         7     2     8     3     7     3     2     9     
Vardas6310          Pavarde6310         8     2     10    9     4     7     10    7     
Vardas6311          Pavarde6311         2     8     2     3     10    2     10    2     
Vardas6312          Pavarde6312         10    10    5     4     6     6     5     3     
Vardas6313          Pavarde6313         6     3     10    10    3     5     10    9     
Vardas6314          Pavarde6314         4     1     10    5     4     7     5     6     
Vardas6315          Pavarde6315         10    5     2     9     10    9     10    2     
Vardas6316          Pavarde6316         4     8     2     7     6     8     8     9     
Vardas6317          Pavarde6317         7     5     5     9     8     1     9     9     
Vardas6318          Pavarde6318         7     3     3     2     7     1     1     7     
Vardas6319          Pavarde6319         2     1     1     10    10    8     4     3     
Vardas6320          Pavarde6320         1     2     4     5     8     7     7     4     
Vardas6321          Pavarde6321         9     8     2     1     2     7     10    10    
Vardas6322          Pavarde6322         10    3     1     9     10    1     9     9     
Vardas6323          Pavarde6323         10    9     8     2     3     9     6     9     
Vardas6324          Pavarde6324         2     1     1     3     8     2     3     1     
Vardas6325          Pavarde6325         7     7     5     3     4     1     1     2     
Vardas6326          Pavarde6326         3     1     4     4     10    6     7     8     
Vardas6327          Pavarde6327         6     9     3     4     8     3     9     3     
Vardas6328          Pavarde6328         4     9     3     9     7     3     3     5     
Vardas6329          Pavarde6329         3     6     7     9     8     10    7     9     
Vardas6330          Pavarde6330         7     5     8     1     2     2     6     4     
Vardas6331          Pavarde6331         1     5     2     6     6     5     4     8     
Vardas6332          Pavarde6332         5     9     10    6     7     8     9     9     
Vardas6333          Pavarde6333         2     6     10    1     1     3     6     6     
Vardas6334          Pavarde6334         1     4     5     9     5     9     8     4     
Vardas6335          Pavarde6335         8     3     8     10    6     7     7     8     
Vardas6336          Pavarde6336         9     10    6     2     5     6     5     1     
Vardas6337          Pavarde6337         6     4     9     5     3     1     8     1     
Vardas6338          Pavarde6338         4     1     4     9     9     7     7     10    
Vardas6339          Pavarde6339         9     8     7     9     6     4     10    5     
Vardas6340          Pavarde6340         7     4     6     1     2     6     5     1     
Vardas6341          Pavarde6341         1     10    6     6     9     5     5     10    
Vardas6342          Pavarde6342         1     1     7     3     1     9     5     6     
Vardas6343          Pavarde6343         1     9     3     10    10    1     3     7     
Vardas6344          Pavarde6344         7     5     4     2     6     2     7     5     
Vardas6345          Pavarde6345         6     5     9     9     8     5     7     10    
Vardas6346          Pavarde6346         3     8     1     1     8     7     7     5     
Vardas6347          Pavarde6347         4     4     10    2     9     8     2     5     
Vardas6348          Pavarde6348         10    6     1     9     2     3     4     1     
Vardas6349          Pavarde6349         4     4     6     10    3     9     9     9     
Vardas6350          Pavarde6350         3     9     2     9     9     4     1     9     
Vardas6351          Pavarde6351         5     10    1     4     3     10    10    8     
Vardas6352          Pavarde6352         1     2     3     3     6     3     9     6     
Vardas6353          Pavarde6353         3     5     8     5     1     8     9     10    
Vardas6354          Pavarde6354         9     10    7     5     7     5     6     3     
Vardas6355          Pavarde6355         4     10    8     9     9     7     3     6     
Vardas6356          Pavarde6356         7     2     3     6     5     3     10    8     
Vardas6357          Pavarde6357         5     6     3     2     4     1     2     9     
Vardas6358          Pavarde6358         10    4     2     2     7     1     6     1     
Vardas6359          Pavarde6359         4     8     9     8     8     4     3     9     
Vardas6360          Pavarde6360         7     3     3     2     3     8     2     5     
Vardas6361          Pavarde6361         5     7     6     4     5     2     9     6     
Vardas6362          Pavarde6362         1     4     4     7     6     10    10    1     
Vardas6363          Pavarde6363         2     1     7     10    5     8     5     9     
Vardas6364          Pavarde6364         3     9     8     4     3     4     9     9     
Vardas6365          Pavarde6365         1     4     2     1     6     10    6     6     
Vardas6366          Pavarde6366         3     6     9     8     1     8     8     8     
Vardas6367          Pavarde6367         2     7     10    2     9     3     3     7     
Vardas6368          Pavarde6368         10    2     10    4     6     6     3     1     
Vardas6369          Pavarde6369         10    6     5     9     6     4     1     5     
Vardas6370          Pavarde6370         9     1     6     3     9     3     10    10    
Vardas6371          Pavarde6371         5     3     8     2     4     4     9     5     
Vardas6372          Pavarde6372         10    9     10    8     5     5     4     7     
Vardas6373          Pavarde6373         7     6     3     5     9     8     4     3     
Vardas6374          Pavarde6374         8     9     5     4     8     5     1     1     
Vardas6375          Pavarde6375         5     2     1     6     1     4     9     3     
Vardas6376          Pavarde6376         7     3     4     7     9     7     8     3     
Vardas6377          Pavarde6377         5     5     6     8     1     9     3     5     
Vardas6378          Pavarde6378         9     9     9     4     9     4     2     2     
Vardas6379          Pavarde6379         5     2     1     6     8     3     6     6     
Vardas6380          Pavarde6380         8     2     5     9     8     1     9     2     
Vardas6381          Pavarde6381         1     6     4     6     8     2     1     9     
Vardas6382          Pavarde6382         9     8     10    8     9     9     3     6     
Vardas6383          Pavarde6383         3     4     5     3     6     7     10    3     
Vardas6384          Pavarde6384         7     3     9     6     1     10    6     7     
Vardas6385          Pavarde6385         2     3     10    7     1     1     9     9     
Vardas6386          Pavarde6386         7     4     3     2     9     7     9     3     
Vardas6387          Pavarde6387         10    5     2     5     7     2     7     10    
Vardas6388          Pavarde6388         2     5     8     3     4     6     1     6     
Vardas6389          Pavarde6389         5     6     5     8     4     1     5     8     
Vardas6390          Pavarde6390         9     2     7     2     6     7     8     9     
Vardas6391          Pavarde6391         1     7     6     2     10    1     4     7     
Vardas6392          Pavarde6392         5     8     8     6     6     2     1     7     
Vardas6393          Pavarde6393         6     1     9     3     1     7     4     4     
Vardas6394          Pavarde6394         10    1     9     10    4     5     2     8     
Vardas6395          Pavarde6395         9     4     2     9     6     6     5     10    
Vardas6396          Pavarde6396         7     3     3     2     1     2     3     9     
Vardas6397          Pavarde6397         8     7     5     8     9     7     4     10    
Vardas6398          Pavarde6398         3     7     8     6     10    10    3     10    
Vardas6399          Pavarde6399         7     7     2     1     4     1     10    1     
Vardas6400          Pavarde6400         8     3     8     5     4     7     1     4     
